NCP_cat;NCP;Rewilding_cat;rewilding;overall pos;counteracting_posneg;counteract_negpos;sum_counteracting;overall neg
regulating ;pollination;eco_integrity;natural_disturbance;3;0;0;0;0
regulating ;air_water_soil;eco_integrity;natural_disturbance;15;15;0;15;16
regulating ;climate ;eco_integrity;natural_disturbance;10;12;0;12;14
regulating ;hazards ;eco_integrity;natural_disturbance;7;11;8;19;10
regulating ;invasives;eco_integrity;natural_disturbance;0;0;0;0;0
material ;food_provision;eco_integrity;natural_disturbance;1;22;14;36;6
material ;materials;eco_integrity;natural_disturbance;0;22;9;31;2
material ;water;eco_integrity;natural_disturbance;12;14;1;15;16
non_material_cultural;non-material;eco_integrity;natural_disturbance;9;18;5;23;12
good_life_quality;good_quality;eco_integrity;natural_disturbance;8;21;4;25;6
regulating ;pollination;eco_integrity;connectivity;6;0;0;0;2
regulating ;air_water_soil;eco_integrity;connectivity;42;10;0;10;28
regulating ;climate ;eco_integrity;connectivity;18;9;0;9;32
regulating ;hazards;eco_integrity;connectivity;14;7;8;15;10
regulating ;invasives;eco_integrity;connectivity;2;2;0;2;2
material ;food_provision;eco_integrity;connectivity;19;25;22;47;13
material ;materials;eco_integrity;connectivity;11;22;16;38;6
material ;water;eco_integrity;connectivity;33;10;3;13;21
non_material_cultural;non-material;eco_integrity;connectivity;36;21;8;29;16
good_life_quality;good_quality;eco_integrity;connectivity;36;25;7;32;9
regulating ;pollination;eco_integrity;veg_dynamics;5;0;0;0;2
regulating ;air_water_soil;eco_integrity;veg_dynamics;40;13;0;13;29
regulating ;climate ;eco_integrity;veg_dynamics;19;10;0;10;29
regulating ;hazards;eco_integrity;veg_dynamics;9;8;9;17;9
regulating ;invasives;eco_integrity;veg_dynamics;2;0;0;0;2
material ;food_provision;eco_integrity;veg_dynamics;14;27;26;53;11
material ;materials;eco_integrity;veg_dynamics;9;25;18;43;6
material ;water;eco_integrity;veg_dynamics;28;10;2;12;21
non_material_cultural;non-material;eco_integrity;veg_dynamics;34;26;9;35;14
good_life_quality;good_quality;eco_integrity;veg_dynamics;29;27;8;35;8
regulating ;pollination;eco_integrity;invasive_sp;2;0;0;0;0
regulating ;air_water_soil;eco_integrity;invasive_sp;7;0;0;0;6
regulating ;climate ;eco_integrity;invasive_sp;3;0;0;0;2
